,Province,City,Street,Neighbourhood,Price,Bed,Bath,Size,room
1670,ON,Toronto,URG02-7 Lorraine Drive,Willowdale West,1197000.0,3+1,2,1000-1199,6
1671,ON,Toronto,14-50 Bartlett Avenue,Dovercourt-Wallace Emerson-Junction,1595000.0,2+1,3,1600-1799,6
1672,ON,Toronto,7405-388 Yonge Street,Bay Street Corridor,1980000.0,3,2,1200-1399,5
1673,ON,Toronto,419-3220 Sheppard Avenue E,Tam O'Shanter-Sullivan,819000.0,2,2,900-999,4
1674,ON,Toronto,2904-12 York Street,Waterfront Communities C1,1250000.0,3+1,2,1000-1199,6
1675,ON,Toronto,812-55 Harbour Square,Waterfront Communities C1,1800000.0,2,2,1400-1599,4
1676,ON,Toronto,11 Tranby Avenue,Annex,4100000.0,3+1,3,2250-2499,7
1677,ON,Toronto,710-251 Manitoba Street,Mimico,750000.0,2,2,700-799,4
1678,ON,Toronto,416-32 Forest Manor Road,Henry Farm,897800.0,2+1,2,800-899,5
1679,ON,Toronto,4507-251 Jarvis Street,Church-Yonge Corridor,519900.0,–,1,0-499,1
1680,ON,Toronto,317-400 The East Mall,Islington-City Centre West,1075900.0,3,3,1400-1599,6
1681,ON,Toronto,323-1 Balmoral Avenue,Yonge-St. Clair,1095000.0,2,2,1000-1199,4
1682,ON,Toronto,3-7 Brimley Road S,Cliffcrest,849000.0,2,2,1000-1199,4
1683,ON,Toronto,602-120 Rosedale Valley Road,Rosedale-Moore Park,874900.0,2,2,1200-1399,4
1684,ON,Toronto,108-120 Varna Drive,Yorkdale-Glen Park,989000.0,3,3,1200-1399,6
1685,ON,Toronto,406-3220 Sheppard Avenue E,Tam O'Shanter-Sullivan,723880.0,2,2,800-899,4
1686,ON,Toronto,2115-17 Bathurst Street,Waterfront Communities C1,1300000.0,3,2,800-899,5
1687,ON,Toronto,UPH02-219 Fort York Boulevard,Niagara,1088888.0,2,2,1000-1199,4
1688,ON,Toronto,2201-75 Wynford Heights Crescent,Banbury-Don Mills,1049000.0,3,2,1500-2000,5
1689,ON,Toronto,6202-1 Bloor Street W,Bay Street Corridor,7703888.0,2+1,3,2250-2499,6
1690,ON,Toronto,5503-1 Bloor Street W,Bay Street Corridor,4241888.0,3,2,1400-1599,5
1691,ON,Toronto,LP7900-1 Bloor Street W,Bay Street Corridor,34700000.0,5+1,7,5000+,13
1692,ON,Toronto,SUITE 3-662 Bathurst Street,Palmerston-Little Italy,2395000.0,3+1,3,1500-2000,7
1693,ON,Toronto,PH40-250 Wellington Street W,University,1299000.0,2,2,1400-1599,4
1694,ON,Toronto,4703-1 Yorkville Avenue,Annex,2440000.0,2,2,1000-1199,4
1695,ON,Toronto,2-70 Annie Craig Drive,Mimico,999999.0,2,2,800-899,4
1696,ON,Toronto,2401-38 Forest Manor Road,Henry Farm,725000.0,1+1,1,500-599,3
1697,ON,Toronto,4506-20 Shore Breeze Drive,Mimico,1380000.0,2,2,800-899,4
1698,ON,Toronto,307-373 Front Street W,Waterfront Communities C1,1098800.0,2+2,2,1000-1199,6
1699,ON,Toronto,2613-155 Yorkville Avenue,Annex,1399000.0,2,2,1000-1199,4
1700,ON,Toronto,PH105-88 Harbour Street,Waterfront Communities C1,3380000.0,3+1,3,1500-2000,7
1701,ON,Toronto,910-386 Yonge Street,Bay Street Corridor,1248880.0,2,2,1200-1399,4
1702,ON,Toronto,PH05-1 Yorkville Avenue,Annex,1950000.0,2,2,900-999,4
1703,ON,Toronto,924-50 George Butchart Drive,Downsview-Roding-CFB,549900.0,1+1,1,600-699,3
1704,ON,Toronto,PH01-1 Yorkville Avenue,Annex,2950000.0,2+1,3,1200-1399,6
1705,ON,Toronto,1501-206 Bloor Street W,Annex,9680000.0,2,3,4250-4499,5
1706,ON,Toronto,802-220 Victoria Street,Church-Yonge Corridor,668000.0,1+2,2,700-799,5
1707,ON,Toronto,222-39 Annie Craig Drive,Mimico,999900.0,2,2,800-899,4
1708,ON,Toronto,2920-28 Widmer Street,Waterfront Communities C1,799000.0,1,1,500-599,2
1709,ON,Toronto,1804 ST-195 Redpath Avenue,Mount Pleasant West,745000.0,2,2,600-699,4
1710,ON,Toronto,209-30 Allanhurst Drive,Edenbridge-Humber Valley,415000.0,2,1,1000-1199,3
1711,ON,Toronto,902-2799 Kingston Road,Cliffcrest,1150000.0,3+1,3,1200-1399,7
1712,ON,Toronto,PH22-55 Merchants' Wharf,Waterfront Communities C8,5980000.0,3,4,3000-3249,7
1713,ON,Toronto,923-2995 Keele Street W,Downsview-Roding-CFB,599990.0,2,2,700-799,4
1714,ON,Toronto,711-1200 Don Mills Road,Banbury-Don Mills,979000.0,2,2,1400-1599,4
1715,ON,Toronto,602-118 Yorkville Avenue,Annex,9880000.0,3,3,4000-4249,6
1716,ON,Toronto,911-825 Church Street,Rosedale-Moore Park,1535000.0,3,2,1000-1199,5
1717,ON,Toronto,PH4-3900 Yonge Street,Bedford Park-Nortown,3898000.0,2,3,3000-3249,5
1718,ON,Toronto,407-662 Sheppard Avenue E,Bayview Village,999998.0,2,2,1200-1399,4
1719,ON,Toronto,1211-5 St Joseph Street,Bay Street Corridor,818000.0,1+1,1,600-699,3
1720,ON,Toronto,506-2201 Kingston Road,Birchcliffe-Cliffside,550000.0,1,1,0-499,2
1721,ON,Toronto,6316-388 Yonge Street,Bay Street Corridor,1390000.0,2+1,2,1200-1399,5
