,Province,City,Street,Neighbourhood,Price,Bed,Bath,Size,room
66,ON,Toronto,59 Evanston Drive,Bathurst Manor,1399000.0,3,3,,6
67,ON,Toronto,604 Woburn Avenue,Bedford Park-Nortown,1598000.0,3+1,4,1500-2000,8
68,ON,Toronto,10 Deevale Road,Downsview-Roding-CFB,999998.0,3,3,0-0,6
69,ON,Toronto,55 Winter Gardens Trail,Rouge E10,899000.0,3+1,3,,7
70,ON,Toronto,237 Acton Avenue,Bathurst Manor,1288000.0,3+1,2,,6
71,ON,Toronto,7 Lytton Boulevard,Lawrence Park South,2795000.0,4+1,5,,10
72,ON,Toronto,7 Lytton Boulevard,Lawrence Park South,2795000.0,4+1,5,,10
73,ON,Toronto,20 Goswell Road,Islington-City Centre West,2398000.0,4+2,5,3500-5000,11
74,ON,Toronto,15 Hamstead Avenue,Woodbine-Lumsden,899000.0,3,2,,5
75,ON,Toronto,431 Manor Road E,Mount Pleasant East,1499000.0,3,2,,5
76,ON,Toronto,523 Northcliffe Boulevard,Oakwood-Vaughan,999000.0,3,2,,5
77,ON,Toronto,5 Withycombe Crescent,Milliken,1149000.0,3+1,3,,7
78,ON,Toronto,251 Johnston Avenue,Lansing-Westgate,3779900.0,4+2,6,3500-5000,12
79,ON,Toronto,20 Lionel Heights Crescent,Parkwoods-Donalda,1798800.0,3,3,1000-1500,6
80,ON,Toronto,80 Cavehill Crescent,Wexford-Maryvale,998000.0,3+1,2,,6
81,ON,Toronto,382 Maple Leaf Drive,Maple Leaf,1299000.0,3,2,,5
82,ON,Toronto,8 Ilfracombe Crescent,Wexford-Maryvale,998800.0,3+1,2,,6
83,ON,Toronto,14 Paulander Avenue,Centennial Scarborough,1389000.0,4,3,2500-3000,7
84,ON,Toronto,82 Portwine Drive,Rouge E10,1399000.0,4,4,2500-3000,8
85,ON,Toronto,18 Greengate Road,Banbury-Don Mills,2488800.0,5+1,3,,9
86,ON,Toronto,167 Fairglen Avenue,L'Amoreaux,1399000.0,3+3,4,,10
87,ON,Toronto,258 Patricia Avenue,Newtonbrook West,2998000.0,4+1,7,3500-5000,12
88,ON,Toronto,328 Glen Road,Rosedale-Moore Park,2950000.0,3+1,4,,8
89,ON,Toronto,132 Glendora Avenue,Willowdale East,1590000.0,3+2,2,,7
90,ON,Toronto,238 Forest Hill Road,Forest Hill South,6899000.0,4,5,3500-5000,9
91,ON,Toronto,68 Leroy Avenue,Danforth Village-East York,799900.0,1,2,,3
92,ON,Toronto,270 Westlake Avenue,East York,1268866.0,3+1,2,1000-1500,6
93,ON,Toronto,270 Westlake Avenue,East York,1268866.0,3+1,2,1000-1500,6
94,ON,Toronto,1149 Greenwood Avenue,East York,998000.0,2+1,2,0-0,5
95,ON,Toronto,60 Manorglen Crescent,Agincourt South-Malvern West,1099000.0,4,3,,7
96,ON,Toronto,29 Kintyre Avenue,South Riverdale,1629000.0,4,3,,7
97,ON,Toronto,28 Glen Rush Boulevard,Bedford Park-Nortown,2995000.0,4+2,5,3500-5000,11
98,ON,Toronto,393 Kipling Avenue,New Toronto,1799000.0,4+3,6,2000-2500,13
99,ON,Toronto,42 Ravenview Drive,West Hill,1049000.0,3+1,3,,7
100,ON,Toronto,112 Hounslow Avenue,Willowdale West,3499000.0,4+2,7,3500-5000,13
101,ON,Toronto,25 Vernadale Crescent,Clairlea-Birchmount,999000.0,3+1,1,,5
102,ON,Toronto,12 Murray Avenue,Agincourt South-Malvern West,1399000.0,3,2,,5
103,ON,Toronto,1 Sudbury Hall Drive,Rouge E11,1600000.0,3+3,4,1500-2000,10
104,ON,Toronto,20 Blantyre Avenue,Birchcliffe-Cliffside,2190000.0,3+2,4,,9
105,ON,Toronto,92 Upper Canada Drive,St. Andrew-Windfields,3888000.0,5+3,8,5000+,16
106,ON,Toronto,73 Thirty First Street,Long Branch,1290000.0,3,3,,6
107,ON,Toronto,202 Andona Crescent,Rouge E10,1295000.0,4+1,4,,9
108,ON,Toronto,14 Westwynd Court,Willowridge-Martingrove-Richview,1890000.0,5+1,4,2500-3000,10
109,ON,Toronto,63 Lockerbie Avenue,Humberlea-Pelmo Park W4,1529000.0,4+1,3,,8
110,ON,Toronto,36 Monmouth Court,Woburn,1099000.0,4+1,4,,9
111,ON,Toronto,84 Melchior Drive,West Hill,1199000.0,3+2,3,1500-2000,8
112,ON,Toronto,284 Bogrt Avenue,Lansing-Westgate,1900000.0,4+1,2,,7
113,ON,Toronto,28 Tweedrock Crescent,Morningside,1900000.0,4,3,3500-5000,7
114,ON,Toronto,2 Prince Hal Crescent,Tam O'Shanter-Sullivan,1399000.0,5+4,9,2000-2500,18
115,ON,Toronto,8 Tansley Avenue,Bendale,998000.0,2+3,2,,7
116,ON,Toronto,20 Danjohn Crescent,Agincourt North,1190000.0,3+2,4,1500-2000,9
117,ON,Toronto,11 Dornfell Street,Newtonbrook West,3498888.0,4+2,6,3500-5000,12
118,ON,Toronto,9 Osmund Court,Hillcrest Village,1998000.0,4+2,5,,11
119,ON,Toronto,44 Jeffton Crescent,Woburn,1199000.0,3+2,3,1000-1500,8
120,ON,Toronto,65 Elinor Avenue,Wexford-Maryvale,2199000.0,5+1,5,2500-3000,11
121,ON,Toronto,19 Old Oak Drive,Kingsway South,1900000.0,3,4,2000-2500,7
122,ON,Toronto,17 Renoak Drive,Westminster-Branson,2300000.0,5+1,5,3500-5000,11
123,ON,Toronto,81 Sultan Pool Drive,West Humber-Clairville,999900.0,3+2,2,1500-2000,7
124,ON,Toronto,568 Delaware Avenue N,Wychwood,1780000.0,4+1,5,,10
125,ON,Toronto,27 Sesame Street,L'Amoreaux,1299000.0,4,4,,8
126,ON,Toronto,36 Vanbrugh Avenue,Birchcliffe-Cliffside,999000.0,3,2,,5
127,ON,Toronto,19 Waring Court,Willowdale East,2088000.0,4+4,2,,10
128,ON,Toronto,19 Royal Oak Drive,Bridle Path-Sunnybrook-York Mills,8800000.0,7,9,5000+,16
129,ON,Toronto,156 Prince Edward Drive S,Stonegate-Queensway,1395000.0,3,1,1000-1500,4
130,ON,Toronto,78 Historic Terrace,Milliken,990000.0,4+1,4,,9
131,ON,Toronto,20 Long Crescent,The Beaches,2088000.0,4,1,,5
132,ON,Toronto,5 Gooderham Drive E,Wexford-Maryvale,1199999.0,5+3,4,,12
133,ON,Toronto,32 Tremely Crescent,Eglinton East,1099999.0,3+3,4,1000-1500,10
134,ON,Toronto,9 Romana Drive,Birchcliffe-Cliffside,998800.0,3,2,,5
135,ON,Toronto,15 Brian Avenue,Wexford-Maryvale,999000.0,3+2,2,,7
136,ON,Toronto,153 Rosemount Avenue,Weston,1150000.0,4,2,,6
137,ON,Toronto,78 Aura Lea Boulevard,Humberlea-Pelmo Park W5,1999000.0,4,6,3500-5000,10
138,ON,Toronto,33 Willsteven Drive,Woburn,1500000.0,3+2,2,,7
139,ON,Toronto,17 Dunsmore Gardens,Clanton Park,1288000.0,2,2,,4
140,ON,Toronto,17 Bayview Ridge,Bridle Path-Sunnybrook-York Mills,10800000.0,7+1,7,5000+,15
141,ON,Toronto,7 Craggview Drive,West Hill,1000000.0,4,3,,7
142,ON,Toronto,325 Painted Post Drive,Woburn,988888.0,3+3,3,,9
143,ON,Toronto,23 Christine Crescent,Willowdale West,1899000.0,4,4,,8
144,ON,Toronto,7 Tobruk Crescent,Newtonbrook East,3999000.0,4+1,6,0-0,11
145,ON,Toronto,21 O'halloran Crescent,Milliken,1100000.0,4+2,3,1500-2000,9
146,ON,Toronto,52 Norton Avenue,Willowdale East,4900000.0,4+1,6,,11
147,ON,Toronto,8 Mellanby Place,Banbury-Don Mills,3995000.0,5,5,5000+,10
148,ON,Toronto,60 Falstaff Avenue,Rustic,1599000.0,4+2,4,,10
149,ON,Toronto,37 Elinor Avenue,Wexford-Maryvale,3200000.0,5+3,8,3500-5000,16
150,ON,Toronto,30 Denver Crescent,Henry Farm,4498000.0,5+1,7,5000+,13
151,ON,Toronto,135 Donlands Avenue,Danforth Village,989900.0,3,2,1000-1500,5
152,ON,Toronto,166 Silverthorn Avenue,Weston-Pellam Park,1195000.0,3+1,2,0-0,6
153,ON,Toronto,16 Kingslake Road,Don Valley Village,1898000.0,5+4,4,,13
154,ON,Toronto,59 Chartland Boulevard S,Agincourt North,1480000.0,4+1,3,,8
155,ON,Toronto,144 Clinton Street,Palmerston-Little Italy,2328000.0,3+1,2,2000-2500,6
156,ON,Toronto,113 Decarie Circle,Eringate-Centennial-West Deane,1248000.0,3,2,,5
157,ON,Toronto,59 Bishop Avenue,Newtonbrook East,1990000.0,7,2,,9
158,ON,Toronto,35 Orpington Crescent,Mount Olive-Silverstone-Jamestown,1299000.0,4,3,,7
159,ON,Toronto,35 Conifer Drive,Markland Wood,1980000.0,4+1,5,3500-5000,10
160,ON,Toronto,216 Woodville Avenue,East York,2495000.0,4,4,2000-2500,8
161,ON,Toronto,14 Handel Street,Rockcliffe-Smythe,899999.0,3+2,2,,7
162,ON,Toronto,71 Virginia Avenue,East York,1690000.0,3+1,3,,7
163,ON,Toronto,350 Cortleigh Boulevard,Bedford Park-Nortown,13900000.0,7+1,12,,20
164,ON,Toronto,64 Princess Avenue,Willowdale East,2499000.0,5+1,5,,11
165,ON,Toronto,324 Euclid Avenue,Trinity-Bellwoods,3750000.0,4+1,4,2500-3000,9
166,ON,Toronto,23 Brumwell Street,Centennial Scarborough,1449000.0,4,3,,7
167,ON,Toronto,569 Brimley Road,Eglinton East,1765000.0,3+4,3,1000-1500,10
168,ON,Toronto,30 Plymbridge Crescent,Bridle Path-Sunnybrook-York Mills,6300000.0,4+1,5,3500-5000,10
169,ON,Toronto,22 Benbow Road,Kingsview Village-The Westway,999900.0,3+1,2,,6
170,ON,Toronto,53 Mulgrove Drive,Etobicoke West Mall,1599000.0,3+2,3,2000-2500,8
171,ON,Toronto,19 Shalom Crescent,West Humber-Clairville,1249000.0,3+3,3,1000-1500,9
172,ON,Toronto,24 Nanaberry Street,Rouge E11,1399900.0,4+1,4,,9
173,ON,Toronto,37 Kingsdale Avenue,Willowdale East,2188000.0,3+1,3,2000-2500,7
174,ON,Toronto,63 Corinthian Boulevard,L'Amoreaux,1399900.0,3+3,5,,11
175,ON,Toronto,180 Caribou Road,Bedford Park-Nortown,3588000.0,4+1,6,3500-5000,11
176,ON,Toronto,20 Minnacote Avenue,West Hill,1450000.0,3+2,2,,7
177,ON,Toronto,34 Eaglestone Road,Tam O'Shanter-Sullivan,1588000.0,4+2,4,2000-2500,10
178,ON,Toronto,81 Shropshire Drive,Dorset Park,1199000.0,3+3,3,,9
179,ON,Toronto,92 Shepton Way,Steeles,1987000.0,4+2,5,0-0,11
180,ON,Toronto,89 Finch Avenue E,Willowdale East,2790000.0,5,3,,8
181,ON,Toronto,95 Finch Avenue E,Willowdale East,2790000.0,3+1,3,,7
182,ON,Toronto,33 Lightbourn Avenue,Dovercourt-Wallace Emerson-Junction,799900.0,2+1,1,0-0,4
183,ON,Toronto,7 Tofino Crescent,Banbury-Don Mills,2590000.0,4+2,5,,11
184,ON,Toronto,18 Woodlot Crescent,West Humber-Clairville,1600000.0,4+3,4,2500-3000,11
185,ON,Toronto,1 Brownridge Crescent,West Humber-Clairville,998000.0,3+2,4,1500-2000,9
186,ON,Toronto,564 Main Street,Woodbine-Lumsden,1988000.0,4+1,6,2000-2500,11
187,ON,Toronto,225 Oakwood Avenue,Oakwood-Vaughan,1639000.0,2+1,2,,5
188,ON,Toronto,281 Davisville Avenue,Mount Pleasant West,2499000.0,3+2,3,,8
189,ON,Toronto,162 Wedgewood Drive,Newtonbrook East,2899000.0,4+2,6,3500-5000,12
190,ON,Toronto,197 Mckee Avenue,Willowdale East,2688000.0,5+2,6,,13
191,ON,Toronto,34 Owen Drive,Alderwood,1799999.0,3,4,,7
192,ON,Toronto,33 Tavistock Road,Downsview-Roding-CFB,2648000.0,4+1,5,3500-5000,10
193,ON,Toronto,10 Boyce Avenue,Eglinton East,1089000.0,3+1,2,,6
194,ON,Toronto,25 Newman Avenue,Crescent Town,979000.0,2,1,1000-1500,3
195,ON,Toronto,321 Hillhurst Boulevard,Englemount-Lawrence,2675000.0,3,3,2000-2500,6
196,ON,Toronto,68 Raven Road,Rustic,1799000.0,4,5,2500-3000,9
197,ON,Toronto,243 Berry Road,Stonegate-Queensway,1999999.0,4+2,4,,10
198,ON,Toronto,205 Leslie Street,South Riverdale,1499000.0,3,2,0-0,5
199,ON,Toronto,315 Gilbert Avenue,Caledonia-Fairbank,1599900.0,3,4,,7
200,ON,Toronto,2841 Keele Street,Downsview-Roding-CFB,3750000.0,5+2,4,5000+,11
201,ON,Toronto,80 Earlton Road S,Tam O'Shanter-Sullivan,1298000.0,3+2,2,0-0,7
202,ON,Toronto,43 Linwood Avenue,Tam O'Shanter-Sullivan,1450000.0,4,4,,8
203,ON,Toronto,132 Invermay Avenue,Clanton Park,1299999.0,4+1,4,3000-3500,9
204,ON,Toronto,2496 Lake Shore Boulevard W,Mimico,1599900.0,3+1,2,0-0,6
205,ON,Toronto,4 Greenlaw Avenue,Corso Italia-Davenport,1350000.0,3+2,3,,8
206,ON,Toronto,10 Royal Rouge Trail,Rouge E11,1200000.0,4,4,,8
207,ON,Toronto,515 Donlands Avenue,East York,1099000.0,3+1,3,1500-2000,7
208,ON,Toronto,491 Winona Drive,Oakwood-Vaughan,1625000.0,3,2,,5
209,ON,Toronto,108 Cottonwood Drive,Banbury-Don Mills,1788000.0,4+1,3,,8
210,ON,Toronto,54 South Woodrow Boulevard,Birchcliffe-Cliffside,998000.0,3+1,2,1500-2000,6
211,ON,Toronto,6 Fargo Avenue,Newtonbrook West,1588800.0,5+1,3,,9
212,ON,Toronto,67 Northfield Road,Woburn,800000.0,3,2,,5
213,ON,Toronto,46 Daniels Street,Stonegate-Queensway,1299000.0,2+1,2,,5
214,ON,Toronto,10 Abbotsford Road,Willowdale West,1380000.0,2+1,2,,5
215,ON,Toronto,12 Lauderdale Drive,St. Andrew-Windfields,5288000.0,4+2,6,3500-5000,12
216,ON,Toronto,26 Legato Court,Banbury-Don Mills,1250000.0,–,–,,0
217,ON,Toronto,18 Legato Court,Banbury-Don Mills,1550000.0,–,–,,0
218,ON,Toronto,20 Legato Court,Banbury-Don Mills,1698000.0,–,–,,0
219,ON,Toronto,18 Ternhill Crescent,Banbury-Don Mills,1598000.0,2+2,3,0-0,7
220,ON,Toronto,202 William Street,Weston,999000.0,2+2,2,,6
221,ON,Toronto,113 Harlandale Avenue,Lansing-Westgate,1388000.0,3+1,3,,7
222,ON,Toronto,187 Woodville Avenue,East York,2499000.0,5,3,3000-3500,8
223,ON,Toronto,187 Woodville Avenue,East York,2499000.0,5,3,3000-3500,8
224,ON,Toronto,12 Lockie Avenue,Agincourt South-Malvern West,1698000.0,2,3,1500-2000,5
